01/01/2017,Great soap,13193094,EastEnders,2,54,10
01/01/2017,"OMG, RONNIE OMG , ROXY WHAT A BLOODY ENDING , WOW POOR JACK N THE KIDS ??",14197241,EastEnders,2,48,10
01/01/2017,"A regular choice,,was a sad ending this one",16483052,EastEnders,1,46,10
01/01/2017,rather unsavoury ending,2688501,EastEnders,2,75,5
01/01/2017,Wow... What a shock ending.,13693763,EastEnders,2,45,10
01/01/2017,GOT RID OF THE WRONG PEOPLE.,10795356,EastEnders,2,65,7
01/01/2017,"I have started watching EastEnders again after a considerable time away ,brilliantly acted although somewhat grim storyline for Christmas.",15467296,EastEnders,2,68,10
01/01/2017,"Shocking. Why did they have to die? The girls were 2 of the only interesting characters left,",1720221,EastEnders,2,73,8
01/01/2017,good storylines,14390909,EastEnders,1,34,9
01/01/2017,Filming was good but didnt like the way the Mitchell sisters 'died',13763311,EastEnders,2,61,3
01/01/2017,"Shocking ending. A proper doof, doofer.",905208,EastEnders,2,52,9
01/01/2017,What a cliff hanger,14248076,EastEnders,2,73,10
01/01/2017,"really good episode, so tragic and beautifully told.",13740262,EastEnders,2,30,10
01/01/2017,Very dramatic,593156,EastEnders,1,67,10
01/01/2017,Both Mitchell sisters drown.......A bit much.,14892636,EastEnders,1,56,6
01/01/2017,Depressing end to two great characters,1659874,EastEnders,2,46,9
01/01/2017,Excellent episode. So sad too.,15979465,EastEnders,2,38,10
01/01/2017,Absolute and utter unbelievable rubbish,14324677,EastEnders,1,65,4
01/01/2017,Disappointing and predictable end to Roxy and Ronnie,1644044,EastEnders,2,54,8
01/01/2017,the ronnie and roxy story was a bit lame,13916885,EastEnders,2,70,6
01/01/2017,I always like it and follow the story,14121393,EastEnders,2,58,8
01/01/2017,"At last the two characters I do not like have been killed off. Roxy with her slutty ways and her sister for always thinking that she can manipulate every situation. I have heard that Lee is going to leave, if it is true, then maybe it could be regarding depression and that would go down well with the public (give out a help line number at the end of the programme). The best characters I like are Honey and Billy. Simple characters who value their children and family life. Maybe more characters should feature like this, rather than a bunch of drunks always in the pub !!",15243149,EastEnders,2,53,4
01/01/2017,Great episode - tragic but a brilliant episode that shows that Eastenders still has got it,16077787,EastEnders,2,38,10
01/01/2017,"Really not sure how I feel about the way Ronnie and roxy (two major and loved characters ) met their end last night. At the time I just felt it was totally ridiculous and a dreadful exit for them, now I can perhaps see that it was hauntingly beautiful that Ronnie died helping her sister and drowned too while new hubbie read the children a story that was linked back to her.",15585920,EastEnders,2,31,9
01/01/2017,The ending was very dramatic.,16798714,EastEnders,1,62,9
01/01/2017,shame they've left in such tragic scenes,10793659,EastEnders,1,49,9
01/01/2017,"WOW,What SAD ,darma'atic,Moving Episode",584182,EastEnders,1,37,6
01/01/2017,love it always watch it,16075427,EastEnders,2,42,10
01/01/2017,Good ending to R&R,2564604,EastEnders,2,66,9
01/01/2017,"Happy then sad, happy then sadder. What an up and down episode.",14830652,EastEnders,2,69,9
01/01/2017,Gripping,16406738,EastEnders,1,49,10
01/01/2017,"Appalling episode. I am a great fan of Eastenders but I cannot understand the thinking behind this storyline. I made no sense to me and I will not be watching the program, which I have not missed for years, even recording it when I am away from home. The character given to Lee and Ronnie just did not fit with the ethos of the program. I hated it.",14536391,EastEnders,2,75,9
01/01/2017,I thought it was a silly ending for Ronnie & Roxy.,15988422,EastEnders,2,68,7
01/01/2017,"Some great direction and photography however wasn't happy with or convinced by Micks reaction to Lee, his son tells him he almost killed himself and he behaves like that? Really? Also gutted by the uneccesary killing off of Roxy and Ronnie, they were two of my favourite characters and it won't be he same without them , they could have just moved to Ongar they didn't need to be killed off, it was sad and horrible viewing. Please get rid of this new producer before it is too late",15642097,EastEnders,1,58,7
01/01/2017,really good ending for Ronnie and Roxy but they will be missed,14514274,EastEnders,2,66,10
